#,Time,Asset,Side,Quantity,Price,Status,Confidence,Strategy
1,04:36:29,BTC,BUY,0.00071681,69769.92,OPEN,63.3%,HybridAlpha_v6.5
2,04:36:41,ETH,BUY,0.02459402,2033.50,OPEN,63.3%,HybridAlpha_v6.5
3,04:36:58,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
4,04:37:33,BTC,BUY,0.00071696,69755.88,OPEN,63.3%,HybridAlpha_v6.5
5,04:37:36,ETH,BUY,0.02459777,2033.19,OPEN,63.3%,HybridAlpha_v6.5
6,04:37:39,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
7,04:38:13,BTC,BUY,0.00071711,69740.62,OPEN,63.3%,HybridAlpha_v6.5
8,04:38:19,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
9,04:39:31,BTC,SELL,0.00071721,69731.21,OPEN,43.3%,HybridAlpha_v6.5
10,04:39:54,ETH,SELL,0.02459668,2033.28,OPEN,43.3%,HybridAlpha_v6.5
11,04:40:11,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
12,04:40:46,BTC,BUY,0.00071642,69807.99,OPEN,53.3%,HybridAlpha_v6.5
13,04:40:49,ETH,SELL,0.02457976,2034.68,OPEN,43.3%,HybridAlpha_v6.5
14,04:40:51,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
15,04:41:25,BTC,SELL,0.00071680,69771.47,OPEN,43.3%,HybridAlpha_v6.5
16,04:41:32,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
17,04:42:17,BTC,SELL,0.00071678,69772.90,OPEN,43.3%,HybridAlpha_v6.5
18,04:42:32,ETH,SELL,0.02460189,2032.85,OPEN,43.3%,HybridAlpha_v6.5
19,04:42:44,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
20,04:43:19,BTC,SELL,0.00071628,69821.99,OPEN,43.3%,HybridAlpha_v6.5
21,04:43:26,ETH,SELL,0.02458943,2033.88,OPEN,43.3%,HybridAlpha_v6.5
22,04:43:32,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
23,04:44:09,BTC,SELL,0.00071659,69791.75,OPEN,43.3%,HybridAlpha_v6.5
24,04:44:11,ETH,SELL,0.02459330,2033.56,OPEN,43.3%,HybridAlpha_v6.5
25,04:44:15,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
26,04:44:58,BTC,SELL,0.00071623,69826.91,OPEN,43.3%,HybridAlpha_v6.5
27,04:45:12,ETH,SELL,0.02458375,2034.35,OPEN,43.3%,HybridAlpha_v6.5
28,04:45:23,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
29,04:46:15,BTC,SELL,0.00071627,69822.87,OPEN,43.3%,HybridAlpha_v6.5
30,04:46:26,ETH,SELL,0.02457698,2034.91,OPEN,43.3%,HybridAlpha_v6.5
31,04:47:11,BTC,BUY,0.00071591,69857.82,OPEN,63.3%,HybridAlpha_v6.5
32,04:47:24,ETH,BUY,0.02458205,2034.49,OPEN,63.3%,HybridAlpha_v6.5
33,04:47:37,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
34,04:48:11,BTC,BUY,0.00071598,69851.14,OPEN,63.3%,HybridAlpha_v6.5
35,04:48:14,ETH,BUY,0.02457940,2034.71,OPEN,63.3%,HybridAlpha_v6.5
36,04:48:17,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
37,04:49:30,BTC,SELL,0.00071595,69854.03,OPEN,43.3%,HybridAlpha_v6.5
38,04:49:44,ETH,SELL,0.02457481,2035.09,OPEN,43.3%,HybridAlpha_v6.5
39,04:55:00,BTC,BUY,0.00071697,69754.14,OPEN,63.3%,HybridAlpha_v6.5
40,04:55:20,ETH,BUY,0.02461290,2031.94,OPEN,63.3%,HybridAlpha_v6.5
41,04:55:37,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
42,04:56:13,BTC,BUY,0.00071658,69792.92,OPEN,63.3%,HybridAlpha_v6.5
43,04:56:16,ETH,BUY,0.02460068,2032.95,OPEN,63.3%,HybridAlpha_v6.5
44,04:56:18,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
45,04:57:22,BTC,BUY,0.00071668,69783.18,OPEN,63.3%,HybridAlpha_v6.5
46,04:57:36,ETH,BUY,0.02460758,2032.38,OPEN,63.3%,HybridAlpha_v6.5
47,04:57:50,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
48,04:58:26,BTC,BUY,0.00071700,69752.06,OPEN,63.3%,HybridAlpha_v6.5
49,04:58:31,ETH,BUY,0.02460842,2032.31,OPEN,63.3%,HybridAlpha_v6.5
50,04:58:35,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
51,04:59:16,BTC,BUY,0.00071681,69770.59,OPEN,63.3%,HybridAlpha_v6.5
52,04:59:20,ETH,BUY,0.02460782,2032.36,OPEN,63.3%,HybridAlpha_v6.5
53,04:59:30,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
54,05:00:47,BTC,BUY,0.00071628,69821.38,OPEN,63.3%,HybridAlpha_v6.5
55,05:01:20,ETH,BUY,0.02459584,2033.35,OPEN,63.3%,HybridAlpha_v6.5
56,05:09:29,BTC,BUY,0.00071495,69951.35,OPEN,53.3%,HybridAlpha_v6.5
57,05:09:48,ETH,BUY,0.02457734,2034.88,OPEN,53.3%,HybridAlpha_v6.5
58,05:10:01,AAVE,BUY,0.45015251,111.10,OPEN,53.3%,HybridAlpha_v6.5
59,05:10:35,BTC,BUY,0.00071566,69882.01,OPEN,53.3%,HybridAlpha_v6.5
60,05:10:39,ETH,BUY,0.02457915,2034.73,OPEN,53.3%,HybridAlpha_v6.5
61,05:10:42,AAVE,BUY,0.45015251,111.10,OPEN,53.3%,HybridAlpha_v6.5
62,05:11:18,BTC,BUY,0.00071553,69895.37,OPEN,53.3%,HybridAlpha_v6.5
63,05:11:21,ETH,BUY,0.02458459,2034.28,OPEN,53.3%,HybridAlpha_v6.5
64,05:11:24,AAVE,BUY,0.45015251,111.10,OPEN,53.3%,HybridAlpha_v6.5
65,05:12:06,BTC,SELL,0.00071535,69912.98,OPEN,43.3%,HybridAlpha_v6.5
66,05:12:19,ETH,BUY,0.02458556,2034.20,OPEN,53.3%,HybridAlpha_v6.5
67,05:12:33,AAVE,BUY,0.45015251,111.10,OPEN,53.3%,HybridAlpha_v6.5
68,05:13:07,BTC,BUY,0.00071546,69902.02,OPEN,53.3%,HybridAlpha_v6.5
69,05:13:09,ETH,BUY,0.02458882,2033.93,OPEN,53.3%,HybridAlpha_v6.5
70,05:13:13,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
71,05:13:53,BTC,BUY,0.00071527,69920.58,OPEN,53.3%,HybridAlpha_v6.5
72,05:13:57,ETH,BUY,0.02459753,2033.21,OPEN,53.3%,HybridAlpha_v6.5
73,05:14:00,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
74,05:14:42,BTC,BUY,0.00071516,69930.84,OPEN,53.3%,HybridAlpha_v6.5
75,05:14:55,ETH,BUY,0.02459039,2033.80,OPEN,53.3%,HybridAlpha_v6.5
76,05:15:42,BTC,BUY,0.00071517,69930.22,OPEN,53.3%,HybridAlpha_v6.5
77,05:15:45,ETH,SELL,0.02459100,2033.75,OPEN,43.3%,HybridAlpha_v6.5
78,05:15:48,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
79,05:16:27,BTC,BUY,0.00071521,69926.19,OPEN,53.3%,HybridAlpha_v6.5
80,05:16:30,ETH,BUY,0.02458544,2034.21,OPEN,53.3%,HybridAlpha_v6.5
81,05:16:34,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
82,05:17:19,BTC,BUY,0.00071515,69932.11,OPEN,53.3%,HybridAlpha_v6.5
83,05:17:41,ETH,BUY,0.02458447,2034.29,OPEN,53.3%,HybridAlpha_v6.5
84,05:17:59,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
85,05:18:40,BTC,BUY,0.00071523,69923.80,OPEN,53.3%,HybridAlpha_v6.5
86,05:18:43,ETH,BUY,0.02458556,2034.20,OPEN,53.3%,HybridAlpha_v6.5
87,05:18:46,AAVE,BUY,0.44785478,111.67,OPEN,63.3%,HybridAlpha_v6.5
88,05:19:30,BTC,BUY,0.00071533,69914.89,OPEN,53.3%,HybridAlpha_v6.5
89,05:19:36,ETH,BUY,0.02458060,2034.61,OPEN,53.3%,HybridAlpha_v6.5
90,05:19:39,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
91,05:20:13,BTC,BUY,0.00071555,69892.95,OPEN,53.3%,HybridAlpha_v6.5
92,05:20:25,ETH,BUY,0.02458532,2034.22,OPEN,53.3%,HybridAlpha_v6.5
93,05:20:38,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
94,05:21:18,BTC,BUY,0.00071508,69939.17,OPEN,53.3%,HybridAlpha_v6.5
95,05:21:21,ETH,BUY,0.02455622,2036.63,OPEN,53.3%,HybridAlpha_v6.5
96,05:21:24,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
97,05:22:10,BTC,BUY,0.00071543,69904.81,OPEN,53.3%,HybridAlpha_v6.5
98,05:22:19,ETH,BUY,0.02456986,2035.50,OPEN,53.3%,HybridAlpha_v6.5
99,05:22:23,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
100,05:22:58,BTC,BUY,0.00071528,69919.46,OPEN,53.3%,HybridAlpha_v6.5
101,05:23:08,ETH,BUY,0.02456069,2036.26,OPEN,53.3%,HybridAlpha_v6.5
102,05:23:21,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
103,05:23:58,BTC,BUY,0.00071572,69876.14,OPEN,53.3%,HybridAlpha_v6.5
104,05:24:01,ETH,BUY,0.02456322,2036.05,OPEN,53.3%,HybridAlpha_v6.5
105,05:24:05,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
106,05:25:09,BTC,BUY,0.00071581,69867.52,OPEN,53.3%,HybridAlpha_v6.5
107,05:25:25,ETH,BUY,0.02456877,2035.59,OPEN,53.3%,HybridAlpha_v6.5
108,05:25:41,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
109,05:28:36,BTC,BUY,0.00071525,69922.47,OPEN,53.3%,HybridAlpha_v6.5
110,05:28:57,ETH,BUY,0.02455550,2036.69,OPEN,53.3%,HybridAlpha_v6.5
111,05:29:27,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
112,05:30:12,BTC,BUY,0.00071496,69950.42,OPEN,53.3%,HybridAlpha_v6.5
113,05:30:19,ETH,BUY,0.02455610,2036.64,OPEN,53.3%,HybridAlpha_v6.5
114,05:30:26,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
115,05:31:15,BTC,BUY,0.00071580,69868.86,OPEN,53.3%,HybridAlpha_v6.5
116,05:31:31,ETH,BUY,0.02459052,2033.79,OPEN,53.3%,HybridAlpha_v6.5
117,05:31:54,AAVE,BUY,0.44785478,111.67,OPEN,53.3%,HybridAlpha_v6.5
118,05:32:31,BTC,BUY,0.00071629,69820.49,OPEN,53.3%,HybridAlpha_v6.5
119,21:34:38,BTC,SELL,0.00071143,70297.92,OPEN,43.3%,HybridAlpha_v6.5
120,21:34:56,ETH,SELL,0.02439476,2050.11,OPEN,43.3%,HybridAlpha_v6.5
121,21:35:10,AAVE,BUY,0.44914184,111.35,OPEN,63.3%,HybridAlpha_v6.5
122,21:35:48,BTC,SELL,0.00071148,70293.09,OPEN,43.3%,HybridAlpha_v6.5
123,21:35:54,ETH,SELL,0.02438525,2050.91,OPEN,43.3%,HybridAlpha_v6.5
124,21:36:00,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
125,21:36:48,BTC,SELL,0.00071089,70350.94,OPEN,43.3%,HybridAlpha_v6.5
126,21:36:56,ETH,BUY,0.02435781,2053.22,OPEN,63.3%,HybridAlpha_v6.5
127,21:37:02,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
128,21:37:39,BTC,SELL,0.00070999,70439.87,OPEN,43.3%,HybridAlpha_v6.5
129,21:37:51,ETH,SELL,0.02435995,2053.04,OPEN,43.3%,HybridAlpha_v6.5
130,21:38:09,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
131,21:38:57,BTC,SELL,0.00071032,70408.01,OPEN,43.3%,HybridAlpha_v6.5
132,21:39:05,ETH,SELL,0.02437312,2051.93,OPEN,43.3%,HybridAlpha_v6.5
133,21:39:11,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
134,21:39:48,BTC,SELL,0.00071074,70366.17,OPEN,43.3%,HybridAlpha_v6.5
135,21:40:00,ETH,SELL,0.02437918,2051.42,OPEN,43.3%,HybridAlpha_v6.5
136,21:40:07,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
137,21:40:43,BTC,SELL,0.00071053,70386.54,OPEN,43.3%,HybridAlpha_v6.5
138,21:40:50,ETH,BUY,0.02435734,2053.26,OPEN,63.3%,HybridAlpha_v6.5
139,21:41:03,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
140,21:41:50,BTC,SELL,0.00070975,70464.57,OPEN,43.3%,HybridAlpha_v6.5
141,21:41:58,ETH,SELL,0.02435081,2053.81,OPEN,43.3%,HybridAlpha_v6.5
142,21:42:04,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
143,21:42:41,BTC,SELL,0.00071132,70308.89,OPEN,43.3%,HybridAlpha_v6.5
144,21:42:58,ETH,BUY,0.02439952,2049.71,OPEN,63.3%,HybridAlpha_v6.5
145,21:43:13,AAVE,SELL,0.44914184,111.35,OPEN,43.3%,HybridAlpha_v6.5
